SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100042,0,Cash loans,F,N,Y,2,184551.50315693225,757602.8936986063,36347.32698483005,Working,Secondary / secondary special,Married,House / apartment,0.0236626534441519,-22640,-8679,-2968,-1446,3,3,0.3869154346137453,0.5116669498534399,
100043,0,Cash loans,F,N,N,0,142515.67774735464,523099.1806367778,25939.29780353777,Working,Secondary / secondary special,Married,House / apartment,0.0453869778792455,-19590,-9301,-3970,-986,2,2,,0.5463561409899907,0.2819760707525511
100044,1,Revolving loans,F,N,Y,0,117592.97278268237,717374.4192822265,35940.083584258784,Pensioner,Higher education,Married,House / apartment,0.0102597672695439,-18811,365243,-10549,-979,3,3,0.3731893360532324,0.7046386460346642,0.6613231425081758
100045,0,Cash loans,M,N,Y,0,82307.34052650623,448075.1575095634,25193.598761831945,Commercial associate,Higher education,Married,House / apartment,0.0322166741137265,-24221,-8413,-7127,-1545,2,2,,0.6089565654294791,0.5177718470388416
100046,0,Cash loans,F,N,Y,0,111725.20734555076,375586.9046060066,20495.06302830349,Working,Secondary / secondary special,Married,House / apartment,0.0166229775485974,-10819,-10346,-3752,-5123,3,3,0.3991960285359736,0.4285393491599752,
100047,0,Cash loans,F,N,Y,2,68008.12948965546,210973.39129450772,4589.211219281518,Working,Secondary / secondary special,Married,House / apartment,0.0169064697500319,-15394,-7298,-4181,-2870,2,2,,0.3915457968533175,0.5167323770323173
100048,0,Cash loans,F,Y,Y,0,86648.96778218407,475299.2630900622,18124.977340402933,Working,Higher education,Civil marriage,House / apartment,0.0308718749877885,-22489,-1246,-3855,-1474,2,2,,0.488953990881116,0.4882204225767271
100049,0,Cash loans,F,N,Y,2,70593.10032488157,199183.5819829937,12677.344117142246,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0364875668304519,-21061,-6243,-10675,-5359,1,1,,0.414991987464068,0.4130034729544257
100050,0,Cash loans,F,Y,Y,0,80140.07217770476,396212.1514853206,17811.560958588372,Pensioner,Secondary / secondary special,Separated,House / apartment,0.0606901259649131,-10671,365243,-5072,-3936,2,2,,0.4218652231741359,0.7220282263941975
100051,0,Revolving loans,M,N,N,0,74789.09163572252,219349.23059105332,10564.448805872556,Commercial associate,Higher education,Married,House / apartment,0.0335055506510091,-11726,-7874,-3652,-3632,2,2,0.4538989631149738,0.4549822365299756,0.4272958970568007
100052,0,Cash loans,M,Y,Y,0,177821.06519031984,859923.350342469,43080.23766818667,Pensioner,Higher education,Separated,House / apartment,0.0575958939099056,-12069,365243,-12341,-2658,2,2,0.6196397731584488,0.4867833777744936,0.1502431633032855
100053,1,Revolving loans,F,N,N,0,74988.19712678518,420800.33543948416,18330.678580915464,Pensioner,Higher education,Married,House / apartment,0.0650424723845875,-14084,365243,-15258,-2741,2,2,0.4899904302729134,0.5487292052707191,
100054,1,Cash loans,M,Y,Y,0,129812.7426019626,767767.49171735,39048.23573125254,Working,Secondary / secondary special,Married,House / apartment,0.0569811552628115,-18018,-7995,-10029,-5081,2,2,,0.3125554673921805,0.2317804321101802
100055,0,Cash loans,F,N,N,0,77189.77656678535,336874.8056536093,20292.645751414308,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0472009446471292,-15707,-5807,-9953,-4275,2,2,,0.6028449861808005,
100056,1,Revolving loans,M,Y,N,0,78718.27561443755,407210.2455191319,19713.45501994694,Working,Secondary / secondary special,Married,House / apartment,0.0466326633585024,-20071,-3736,-460,-2799,2,2,0.6441138446927911,0.62809457953865,0.1119885839305354
100057,0,Cash loans,F,Y,N,1,77183.6832873814,283886.11112660123,21052.911562115904,Working,Higher education,Separated,House / apartment,0.065027993884558,-17795,-8219,-15598,-5015,2,2,,0.4831817499990743,0.4215308082919679
100058,0,Cash loans,M,N,Y,1,217250.5984512664,632478.7265423618,39437.39658099396,Working,Higher education,Civil marriage,House / apartment,0.0524919720703106,-21741,-2875,-13127,-2577,2,2,,0.6088100975510214,0.6549329704997392
100059,0,Cash loans,F,N,N,0,121628.66707176495,321200.52722917247,11833.774201081156,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.0128782432034854,-22641,-4324,-2206,-3858,2,2,0.4828721702763607,0.7268867122587637,0.5297929142300728
100060,0,Cash loans,F,Y,Y,1,91712.55957484906,503476.2402417631,27217.27324683881,Pensioner,Higher education,Married,House / apartment,0.0457597378684851,-20417,365243,-12143,-1237,3,3,0.3823340070505909,0.5167498531211272,
100061,0,Cash loans,F,N,N,1,80655.47189021185,373990.8937940752,17502.99283152307,Working,Secondary / secondary special,Separated,House / apartment,0.027664075704984,-21355,-1520,-15990,-5291,3,3,,0.5696935132714552,0.4273485177580335
100062,0,Cash loans,F,N,Y,0,68038.79869680312,171342.78663611907,4753.310558440624,Working,Secondary / secondary special,Married,House / apartment,0.007017634256483,-9747,-9221,-11193,-1388,2,2,0.3320217672084323,0.3106653163455086,
100063,1,Cash loans,F,Y,N,0,93043.2773795662,536125.991730325,26620.77963160042,Working,Secondary / secondary special,Married,With parents,0.0544913153378159,-20516,-9668,-10999,-5443,2,2,,0.353055649800517,0.4229650290584905
100064,0,Cash loans,F,N,N,0,64972.34870130574,144722.65199333444,2000.0,Working,Secondary / secondary special,Married,House / apartment,0.0369796607632305,-13488,-392,-11239,-3646,2,2,0.4683537726447818,0.3165362978925971,0.5363557363515837
100065,0,Cash loans,F,Y,Y,1,107225.47354592448,446020.5768449134,26189.730643615658,Working,Secondary / secondary special,Married,With parents,0.0189058209188173,-18748,-7682,-6322,-81,1,1,,0.4570300635344183,0.2179602756083424
100066,0,Cash loans,M,N,Y,0,93534.91108506356,500234.24824213306,29349.599610009605,Working,Higher education,Separated,Municipal apartment,0.0098600308068383,-13883,-9848,-12554,-2929,2,2,0.6546313464263119,0.6901233257756746,0.2188573797606427
100067,0,Cash loans,F,N,Y,0,90254.4199112334,160134.72501183354,9154.464699008153,Commercial associate,Higher education,Married,House / apartment,0.0093224559346887,-8450,-3317,-5155,-1879,2,2,0.6509310623313932,0.4636635264315696,0.7479944248674038
100068,0,Cash loans,F,N,Y,0,247486.96978175372,795488.8445679365,44606.17251369104,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0694888723577365,-7681,-6197,-88,-2035,2,2,0.4124037663604161,0.4006814204568761,0.3559696301938532
100069,0,Cash loans,F,N,N,0,117946.53569290786,354225.95657967683,14218.1149430266,Working,Secondary / secondary special,Single / not married,House / apartment,0.0553727536612307,-19275,-8791,-4522,-1860,2,2,0.681071512531954,0.6217785211570329,0.1677996652913979
100070,1,Revolving loans,M,Y,N,0,121656.6527478248,645758.847380968,18367.009369842315,Working,Secondary / secondary special,Married,House / apartment,0.0525845682150678,-15391,-5002,-12013,-1337,2,2,0.2066275056129829,0.7315029725410784,
100071,0,Cash loans,M,N,Y,0,252960.9051651698,1235806.505399551,59382.8656542238,Working,Secondary / secondary special,Married,House / apartment,0.0193900228235163,-14393,-2353,-3728,-2242,3,3,,0.4338165189563782,
100072,0,Cash loans,F,N,Y,0,67550.43827213874,193400.5342775281,3583.740487516381,Working,Secondary / secondary special,Single / not married,With parents,0.0400820364285449,-22642,-451,-3130,-2871,2,2,,0.6799196704033277,0.4297441607534062
100073,0,Cash loans,F,N,Y,0,104451.85138111604,469090.62034100015,23507.62824831446,Working,Higher education,Separated,House / apartment,0.0589893163795551,-10938,-1713,-1010,-1166,3,3,0.4076190723647833,0.7519221813651779,
100074,0,Cash loans,F,Y,N,0,61413.42437488883,193936.18736351372,16897.799227921063,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.0090362857904721,-13446,-1353,-4383,-4851,2,2,0.2565976104969677,0.8140341717488468,0.1745949446471668
100075,0,Cash loans,M,N,Y,0,138017.6588035372,391726.0203586763,21063.232244541017,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0353187634703663,-19907,-5587,-3657,-3492,2,2,0.6162251352614132,0.3969519853623303,0.3923397900427751
100076,0,Cash loans,F,N,N,1,180515.50058998255,1077610.6563418582,52590.2299736579,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0040270595786087,-17402,-3906,-1237,-4050,2,2,0.536811058418846,0.619612493958723,0.556585297837117
100077,0,Cash loans,F,N,Y,0,39638.24202307738,117415.08807632,11425.697866540391,Working,Secondary / secondary special,Married,House / apartment,0.002291787084866,-12050,-2256,-8235,-5198,3,3,0.6231947961397875,0.5697775409497907,0.3993207200211772
100078,0,Cash loans,F,N,N,0,204842.2966911896,1087438.0576107565,62832.36572100625,State servant,Secondary / secondary special,Married,House / apartment,0.0059519883003126,-13773,-5445,-16263,-1673,2,2,0.2260903140614602,0.3873310545458168,0.4954250787284841
100079,0,Cash loans,F,N,Y,0,155673.98184050352,888162.8490848346,46628.06951665405,Working,Secondary / secondary special,Widow,House / apartment,0.0556348217145609,-19132,-4274,-13327,-2842,2,2,0.704098923091678,0.226711528631413,0.5549271514263094
100080,0,Cash loans,F,N,Y,1,135705.51450075585,574362.8709862669,25480.438458434928,Pensioner,Secondary / secondary special,Married,House / apartment,0.0130664164511636,-21687,365243,-2410,-4174,2,2,,0.505183643568342,0.1779885124485875
100081,1,Cash loans,M,Y,Y,0,71616.21867439768,445346.7379481383,22883.33379028448,Working,Secondary / secondary special,Single / not married,House / apartment,0.0080779128068886,-13815,-1538,-13042,-1673,2,2,0.58044777016481,0.5770976843700336,0.4388801107454427
100082,0,Cash loans,F,Y,N,0,196019.95926084323,630760.2718374407,32320.38053754792,Working,Secondary / secondary special,Married,House / apartment,0.0229369770328568,-23199,-8844,-8197,-489,2,2,0.6292199484600338,0.5037034519982095,
100083,0,Cash loans,F,Y,N,1,309108.00279428647,1834919.767334532,90802.56726313848,Commercial associate,Higher education,Single / not married,House / apartment,0.0054006118009314,-14445,-6037,-5104,-228,2,2,,0.4007120222390999,0.4472579774164244
100084,0,Cash loans,F,N,Y,0,108690.0576023034,385666.7478997834,25729.018630445564,Working,Secondary / secondary special,Married,House / apartment,0.0439573584799212,-17598,-1019,-2828,-2456,1,1,,0.5473133087686582,0.4927909910570427
100085,0,Cash loans,F,N,Y,0,113694.90741377708,404058.9296452541,24428.182130107365,Working,Higher education,Married,House / apartment,0.0209748233989715,-20722,-10569,-13044,-1997,2,2,0.7335524881338598,0.4788089985257494,0.7351920936123023
100086,0,Cash loans,F,N,Y,0,134776.5178704147,711125.6096560577,29788.7262758305,Commercial associate,Higher education,Separated,House / apartment,0.0227277529807573,-22342,-9175,-14549,-3116,2,2,0.5084560298351437,0.6125153675168914,0.5599090517168243
100087,0,Cash loans,M,Y,N,0,109127.41901856026,502297.37893661065,18797.722404952943,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0551728771731796,-12389,-2043,-8612,-3651,3,3,0.6500688701322296,0.5577166001010039,0.3355560286308719
100088,0,Cash loans,F,N,Y,0,121895.31110144204,565789.7141994342,25619.71861964704,Working,Secondary / secondary special,Single / not married,House / apartment,0.0070054563849391,-16581,-1206,-3797,-4398,3,3,0.5528293634824941,0.5021023547055962,0.3792242381471037
100089,0,Cash loans,F,Y,Y,0,222848.62097717228,663377.8812597392,28198.660607971,Working,Secondary / secondary special,Married,House / apartment,0.0065193330768318,-20673,-1612,-4195,-657,2,2,,0.6065719144115894,0.5793785154478517
100090,0,Cash loans,F,N,Y,1,128906.65991421355,797015.037665079,37512.5605815237,Working,Secondary / secondary special,Married,House / apartment,0.0371701064948322,-18339,-5581,-8416,-2593,2,2,0.3372162296446885,0.5489863055611609,0.5177940717840008
100091,0,Cash loans,F,Y,Y,0,154048.7793010773,520149.82593913766,26000.89067270849,Working,Secondary / secondary special,Married,With parents,0.0422221908086323,-22352,-3134,-7618,-3191,2,2,0.3836297677918592,0.6244997431722218,0.403602592272517
100092,0,Cash loans,F,Y,N,0,368277.8496022904,2000000.0,99107.80567599177,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0166408154706827,-10861,-762,-4622,-1882,1,1,0.4568571124766951,0.7229623430979968,0.5555153625927807
100093,0,Cash loans,F,N,N,0,277105.4639348405,1567501.5567610476,79231.33118796523,Working,Secondary / secondary special,Widow,House / apartment,0.0583716140894899,-22785,-2140,-14272,-3391,2,2,,0.5304065841931747,0.7207449813705005
100094,0,Cash loans,F,Y,Y,0,78957.05840955717,277767.4577766874,12219.264239438504,Pensioner,Secondary / secondary special,Married,House / apartment,0.0657496628487244,-17584,365243,-7966,-5104,2,2,,0.543121920431052,0.5220678758919841
100095,0,Cash loans,F,Y,N,0,318748.4857743144,1589606.6344821637,72500.57862089685,Working,Higher education,Married,House / apartment,0.0665866409883071,-24456,-2116,-11635,-3528,2,2,,0.5783407300643507,
100096,0,Cash loans,F,Y,N,0,265255.59021071024,780622.4915170522,34199.19906651427,Working,Secondary / secondary special,Married,House / apartment,0.0699982644831626,-8663,-1166,-9607,-4356,2,2,,0.5270428879106169,0.3347238594605356
100097,0,Cash loans,F,Y,N,2,281304.6433540315,1460570.834445041,67755.96272674123,Working,Secondary / secondary special,Married,House / apartment,0.0299151437309495,-18715,-2821,-93,-2474,2,2,0.4838090832242354,0.5258055165606172,0.5512701410010032
100098,0,Cash loans,F,N,Y,0,97465.30720565404,384809.927251738,15268.99062471495,Working,Secondary / secondary special,Married,House / apartment,0.0556046297374801,-8181,-6981,-9538,-2876,2,2,,0.4806387705171617,0.3489212864248867
100099,0,Cash loans,M,Y,Y,0,148119.87934642442,481475.59476889,26103.47240632424,Working,Secondary / secondary special,Married,House / apartment,0.0182652680308114,-13302,-664,-4082,-4831,2,2,0.1820633817229361,0.20580394822896,0.3824104545419207
100100,0,Cash loans,F,N,Y,0,109555.7754294218,615841.1396509976,28803.49140533554,State servant,Higher education,Married,With parents,0.0340894949018194,-7990,-1668,-4201,-4451,2,2,0.6078557039947252,0.7753021564532677,0.2186182904818794
100101,0,Cash loans,F,N,Y,1,141565.17845212802,628113.5845950807,26757.25516601855,Working,Secondary / secondary special,Married,House / apartment,0.0482483963692851,-7697,-5230,-11239,-1087,1,1,0.5915257917369431,0.4255875025375266,
100102,0,Cash loans,F,N,Y,2,319939.9798354359,975940.367599046,48347.440305258686,Working,Secondary / secondary special,Married,House / apartment,0.0254223439091274,-18137,-5538,-11331,-5238,2,2,,0.1948616066680984,0.7338721085418141
100103,0,Cash loans,F,N,N,1,142918.3985818327,739727.2461282735,38440.06916866228,Working,Secondary / secondary special,Single / not married,House / apartment,0.0010594063833893,-13667,-8165,-9366,-1933,2,2,0.5051921786146936,0.8193223563246406,0.5949387647414083
100104,0,Cash loans,F,N,Y,0,56389.486681157534,195798.26818331305,11074.555426284933,Working,Secondary / secondary special,Single / not married,House / apartment,0.0307415181120877,-14214,-9130,-15788,-1966,2,2,0.3756022320298314,0.6985307935258304,
100105,0,Revolving loans,M,Y,Y,2,110574.54824907164,563270.067395343,40194.41015001385,Working,Secondary / secondary special,Married,House / apartment,0.0422689367806527,-12956,-239,-11488,-3261,3,3,0.532807914241509,0.7411486376458241,0.5704305078571865
100106,0,Cash loans,M,N,Y,0,96060.5778287228,465510.10798582935,20304.0152052252,Pensioner,Secondary / secondary special,Married,House / apartment,0.0381587155436341,-24476,365243,-15793,-164,2,2,0.3707573298205592,0.5969071588771145,
100107,0,Cash loans,F,N,N,0,326083.5087904109,1029377.211773286,53341.04908454275,Working,Higher education,Civil marriage,House / apartment,0.065787580058165,-10618,-2058,-14287,-4708,3,3,0.4908319901389215,0.5910180992942344,0.2743125475508098
100108,0,Cash loans,F,N,N,0,88737.94528863089,373652.36125594,24019.8383066112,Working,Secondary / secondary special,Married,House / apartment,0.0596849795290041,-13017,-5249,-43,-5312,2,2,0.4507773762636277,0.4213906288438723,
100109,0,Cash loans,F,N,Y,1,108706.58068435547,576482.5310348474,36647.32211303153,Working,Secondary / secondary special,Civil marriage,House / apartment,0.0293505572378827,-11404,-1033,-14533,-4209,2,2,0.5266302812436032,0.5811338018348341,0.4484103215088653
100110,0,Cash loans,F,N,N,1,110603.53436620158,570508.9589211503,27271.897138837143,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0008734498964074,-17757,-1271,-1877,-1948,2,2,0.3401527920139339,0.5336935305830816,0.3649541185570574
100111,0,Cash loans,M,N,Y,1,296500.225734274,1051829.866352843,43599.172018048135,Working,Secondary / secondary special,Married,House / apartment,0.0262041285119341,-19305,-204,-3568,-2139,2,2,,0.4976854455738936,
100112,0,Cash loans,M,N,N,1,215386.5263260181,933754.226663375,45148.58298940965,Pensioner,Secondary / secondary special,Married,House / apartment,0.051445408417609,-20727,365243,-15778,-3605,2,2,0.2988855481424824,0.483341071524041,0.2968909309329635
100113,1,Revolving loans,M,Y,N,0,177014.79977369818,716585.8608549137,37604.21065726759,Working,Incomplete higher,Single / not married,House / apartment,0.0465291760742506,-15573,-7407,-5059,-225,2,2,,0.5091028708936685,0.2401295415215472
